,label,right_shoulder,left_shoulder
0,bas,176.42796270137535,177.31252158184006
1,bas,176.79942178511263,176.44913674978105
2,bas,176.47342925048636,177.40400880522006
3,bas,178.22341576818386,178.30834054969498
4,bas,177.7419872357688,178.3475389242128
5,bas,177.86011390745696,178.36429227641764
6,bas,178.2037294025314,178.33771892170958
7,bas,175.49067216762924,177.33281348055962
8,bas,172.1065701242389,178.91683342486004
9,milieu,163.31757005141836,176.51068337561594
10,milieu,145.62812961143243,171.03025907711694
11,milieu,62.43348940949177,43.286680154946296
12,milieu,16.82008650321098,14.09452184575645
13,milieu,17.510190429838485,14.95231392448166
14,milieu,15.19836277989079,12.946472155494892
15,milieu,13.731620520232513,13.396522936004828
16,milieu,14.928964049921444,14.282629868166977
17,milieu,15.510132301130175,13.21000242241495
18,haut,15.45246339959257,13.172031872460131
19,haut,14.095255562051458,13.641068775655873
20,haut,14.580422197085216,12.953013010349547
21,haut,14.23763354066632,12.522919511164996
22,haut,13.863561495967742,13.648312494958736
23,haut,12.983060614301827,13.897694621371851
24,haut,12.849292815750475,13.52268080181356
25,haut,13.67464709286248,12.563206397878869
26,haut,12.360585495946504,12.74070294365392
27,haut,12.044208390923073,13.38532298590873
28,milieu,12.9422518678722,12.857971763536144
29,milieu,15.559628243237595,12.565677899675377
30,milieu,13.118103491237944,12.189816868380584
31,milieu,17.059851577118696,12.98979061530317
32,milieu,27.527039136173887,21.6127761706494
33,milieu,65.89254971311955,21.03749754119368
34,milieu,152.9984166097722,176.94225760502945
35,bas,178.37169915132176,178.93740826518138
36,bas,179.1553904238487,174.91959618461397
37,bas,179.03479702933552,175.36274315083054
38,bas,179.28702501744812,175.79144265344303
39,haut,24.266367194540344,7.179742047725603
40,haut,25.925070485110293,7.862834187854834
41,milieu,29.202476202686437,10.033650288396752
42,milieu,33.28917707755765,12.68525176959119
43,milieu,31.391466024984236,13.265871615449107
44,milieu,35.60482444539051,15.030706529801892
45,milieu,32.928508622425525,14.90097577139107
46,milieu,37.72942614094065,16.879669464706012
47,milieu,37.22604209625416,17.344429497836007
48,milieu,41.826954394810414,18.99222920502497
49,milieu,45.633260727602426,22.560870857773867
50,milieu,48.90305207921593,23.18450503092568
51,milieu,53.25294560675262,27.32666048151925
52,milieu,59.83177244583862,34.304703253632184
53,milieu,64.95932158975683,37.91787790321375
54,milieu,67.96906689432701,47.06793252178338
55,milieu,71.84095139150809,52.0986235437503
56,milieu,91.6571103064568,67.21156418813732
57,milieu,110.8532476958195,75.6484075359452
58,milieu,119.63823381205914,99.77085664571874
59,milieu,129.04939337726614,117.29766848408153
60,milieu,129.0557355040412,120.51483459013392
61,milieu,139.40290692665462,137.65104488176698
62,milieu,144.32366091039128,137.78498221545692
63,milieu,154.89016180655577,145.9137231422096
64,milieu,155.14727622912355,152.72422828371526
65,milieu,160.5235934387517,156.084823409509
66,milieu,164.71225235315126,158.66047117664914
67,milieu,166.25251515545258,159.95776443581775
68,bas,177.83442574829857,164.68774824951703
69,bas,176.87428597872608,167.66433082469
70,bas,179.49235388083375,167.79675357323262
71,bas,172.0768413609821,169.9190849260318
72,bas,173.91926787679853,170.5075623599148
73,bas,175.14320515532205,172.4021511487674
74,bas,175.49475775954397,172.98977912702995
75,bas,175.72052391753277,173.47832497943548
76,bas,173.8332507018059,172.5425997397808
77,bas,175.09316435997104,173.1354915630035
78,bas,172.56256131349463,170.83881358772203
79,bas,171.251973420518,170.25388309089976
80,bas,178.27996859157565,170.41691429900231
81,milieu,164.39214979021355,165.80297158598796
82,milieu,161.6598656473063,161.79537315589562
83,milieu,147.82587235297723,149.5670735567177
84,milieu,133.47979546654057,127.74611161152583
85,milieu,116.22480007747812,108.63639711046972
86,milieu,65.59018421341355,47.91077185517988
87,milieu,60.56194646928305,32.90507990119992
88,milieu,44.29303313762787,17.174144130997703
89,milieu,37.72803263141224,12.236101314497176
90,milieu,34.935868404776805,8.944382706112622
91,milieu,30.885201609277747,7.460909924834218
92,haut,27.07336137576715,2.891939069615902
93,haut,23.155803006461326,0.4699878077330802
94,haut,21.516666883080784,2.0670780222118625
95,haut,20.497195666361563,2.9865574883409054
96,milieu,148.0398778988835,141.69403596405772
97,milieu,142.34844889542265,131.42682247519747
98,milieu,85.8274983825899,103.62356532169716
99,milieu,94.03371087755508,98.52459762072358
100,milieu,56.20774708127167,72.57442733153171
101,milieu,51.4727311751823,62.747633221633386
102,milieu,46.00585996308524,57.66918274041668
103,milieu,42.33779265451645,54.58167896584444
104,milieu,32.700196350456686,51.92084210166363
105,haut,30.28587207236348,45.90045360608986
106,haut,25.805636492900927,28.22466541975932
107,haut,25.38503832081353,32.93337119819139
108,haut,25.38503832081353,32.93337119819139
109,haut,25.38503832081353,32.93337119819139
110,haut,16.237452847838377,27.59864654816553
111,haut,21.374272543554856,38.17313189032103
112,haut,21.374272543554856,38.17313189032103
113,haut,21.374272543554856,38.17313189032103
114,haut,25.420048760718743,34.13588618109588
115,milieu,25.29735034696189,40.997433883192
116,milieu,35.93841813248872,46.06778013928808
117,milieu,34.9556834017641,47.44869650861684
118,milieu,51.08054114127597,52.28132858909234
119,milieu,44.50346007583864,54.96495679084696
120,milieu,59.25775197836718,64.49837851125326
121,milieu,59.38760966607708,66.6254959317859
122,milieu,70.36888492218795,70.8568621063011
123,milieu,95.80385426727597,89.2282803169116
124,milieu,119.78424007085732,103.35554193239348
125,milieu,131.02902217739933,112.6422976192776
126,milieu,146.55312569140852,134.57712546162367
127,milieu,145.4542694280198,141.67977715600827
128,milieu,150.80614348688485,147.87976951418474
129,milieu,160.7194207576335,157.7927488618393
130,milieu,167.917890796519,164.60382320612547
